"BehaviorSpace results (NetLogo 5.1.0)"
"Simulator.nlogo"
"Evening-Network-5"
"05/22/2015 13:25:35:717 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","the-random-seed","random-seed?","[step]","sum [score] of profiles6"
"24","50","false","7","25"
"23","50","false","5","18"
"24","50","false","8","25"
"23","50","false","6","23"
"24","50","false","9","25"
"23","50","false","7","25"
"23","50","false","8","25"
"23","50","false","9","25"
"23","50","false","10","25"
"24","50","false","10","25"
"25","50","false","0","0"
"25","50","false","1","5"
"25","50","false","2","10"
"25","50","false","3","15"
"25","50","false","4","20"
"25","50","false","5","25"
"25","50","false","6","25"
"25","50","false","7","25"
"25","50","false","8","25"
"25","50","false","9","25"
"25","50","false","10","25"
"28","50","false","0","0"
"27","50","false","0","0"
"26","50","false","0","0"
"28","50","false","1","3"
"29","50","false","0","0"
"27","50","false","1","2"
"28","50","false","2","8"
"27","50","false","2","7"
"28","50","false","3","13"
"26","50","false","1","4"
"27","50","false","3","12"
"29","50","false","1","2"
"28","50","false","4","18"
"26","50","false","2","9"
"27","50","false","4","17"
"29","50","false","2","7"
"28","50","false","5","23"
"26","50","false","3","14"
"29","50","false","3","12"
"27","50","false","5","22"
"28","50","false","6","25"
"26","50","false","4","19"
"29","50","false","4","17"
"27","50","false","6","25"
"28","50","false","7","25"
"26","50","false","5","24"
"29","50","false","5","22"
"27","50","false","7","25"
"28","50","false","8","25"
"26","50","false","6","25"
"27","50","false","8","25"
"28","50","false","9","25"
"29","50","false","6","25"
"26","50","false","7","25"
"27","50","false","9","25"
"29","50","false","7","25"
"28","50","false","10","25"
"26","50","false","8","25"
"29","50","false","8","25"
"26","50","false","9","25"
"29","50","false","9","25"
"26","50","false","10","25"
"29","50","false","10","25"
"27","50","false","10","25"
"30","50","false","0","0"
"30","50","false","1","1"
"30","50","false","2","6"
"30","50","false","3","11"
"30","50","false","4","16"
"30","50","false","5","21"
"30","50","false","6","25"
"30","50","false","7","25"
"30","50","false","8","25"
"30","50","false","9","25"
"30","50","false","10","25"
"31","50","false","0","0"
"31","50","false","1","4"
"31","50","false","2","9"
"31","50","false","3","14"
"31","50","false","4","19"
"31","50","false","5","24"
