"BehaviorSpace results (NetLogo 5.1.0)"
"Simulator.nlogo"
"Start-Network-5"
"05/22/2015 13:05:17:963 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","the-random-seed","random-seed?","[step]","sum [score] of profiles6"
"22","50","false","10","25"
"25","50","false","2","4"
"23","50","false","9","22"
"24","50","false","2","5"
"25","50","false","3","7"
"23","50","false","10","25"
"24","50","false","3","8"
"25","50","false","4","10"
"24","50","false","4","10"
"26","50","false","0","0"
"25","50","false","5","12"
"24","50","false","5","13"
"26","50","false","1","3"
"25","50","false","6","14"
"24","50","false","6","14"
"27","50","false","0","0"
"26","50","false","2","4"
"25","50","false","7","17"
"26","50","false","3","6"
"27","50","false","1","4"
"24","50","false","7","17"
"25","50","false","8","21"
"27","50","false","2","5"
"28","50","false","0","0"
"26","50","false","4","9"
"25","50","false","9","23"
"24","50","false","8","20"
"27","50","false","3","7"
"28","50","false","1","3"
"26","50","false","5","13"
"29","50","false","0","0"
"25","50","false","10","25"
"24","50","false","9","22"
"28","50","false","2","4"
"27","50","false","4","11"
"30","50","false","0","0"
"26","50","false","6","16"
"29","50","false","1","2"
"24","50","false","10","25"
"28","50","false","3","6"
"27","50","false","5","14"
"30","50","false","1","0"
"29","50","false","2","7"
"26","50","false","7","20"
"31","50","false","0","0"
"28","50","false","4","8"
"27","50","false","6","17"
"29","50","false","3","11"
"30","50","false","2","4"
"26","50","false","8","22"
"28","50","false","5","13"
"31","50","false","1","1"
"27","50","false","7","19"
"29","50","false","4","12"
"30","50","false","3","6"
"28","50","false","6","16"
"26","50","false","9","24"
"27","50","false","8","20"
"31","50","false","2","4"
"29","50","false","5","15"
"30","50","false","4","10"
"28","50","false","7","20"
"26","50","false","10","25"
"31","50","false","3","4"
"27","50","false","9","23"
"30","50","false","5","12"
"29","50","false","6","16"
"28","50","false","8","21"
"31","50","false","4","8"
"29","50","false","7","19"
"27","50","false","10","25"
"28","50","false","9","22"
"30","50","false","6","15"
"31","50","false","5","11"
"29","50","false","8","22"
"28","50","false","10","25"
"32","50","false","0","0"
"30","50","false","7","17"
"31","50","false","6","12"
"29","50","false","9","24"
"32","50","false","1","3"
"30","50","false","8","19"
"31","50","false","7","17"
"29","50","false","10","25"
"32","50","false","2","4"
"30","50","false","9","23"
"31","50","false","8","20"
"32","50","false","3","7"
"33","50","false","0","0"
"30","50","false","10","25"
"31","50","false","9","22"
"32","50","false","4","10"
"33","50","false","1","2"
"31","50","false","10","25"
"32","50","false","5","14"
"33","50","false","2","5"
"32","50","false","6","18"
"34","50","false","0","0"
"33","50","false","3","7"
"32","50","false","7","20"
"34","50","false","1","0"
"33","50","false","4","10"
"32","50","false","8","23"
"35","50","false","0","0"
"34","50","false","2","3"
"33","50","false","5","12"
"32","50","false","9","24"
"35","50","false","1","3"
"34","50","false","3","5"
"36","50","false","0","0"
"33","50","false","6","15"
"35","50","false","2","5"
"32","50","false","10","25"
"34","50","false","4","5"
"36","50","false","1","3"
"33","50","false","7","17"
"35","50","false","3","6"
"34","50","false","5","9"
"36","50","false","2","6"
"37","50","false","0","0"
"33","50","false","8","20"
"35","50","false","4","9"
"37","50","false","1","2"
"33","50","false","9","22"
"38","50","false","0","0"
"34","50","false","6","14"
"36","50","false","3","7"
"35","50","false","5","11"
"37","50","false","2","5"
"38","50","false","1","3"
"33","50","false","10","25"
"36","50","false","4","8"
"39","50","false","0","0"
"37","50","false","3","8"
"34","50","false","7","16"
"35","50","false","6","13"
"38","50","false","2","6"
"39","50","false","1","3"
"36","50","false","5","12"
"34","50","false","8","18"
"35","50","false","7","15"
"38","50","false","3","9"
"37","50","false","4","11"
"39","50","false","2","6"
"36","50","false","6","14"
"35","50","false","8","19"
"38","50","false","4","11"
"34","50","false","9","22"
"39","50","false","3","7"
"37","50","false","5","14"
"36","50","false","7","17"
"35","50","false","9","22"
"38","50","false","5","13"
"34","50","false","10","25"
"39","50","false","4","9"
"37","50","false","6","16"
"40","50","false","0","0"
"36","50","false","8","20"
"35","50","false","10","25"
"38","50","false","6","16"
"39","50","false","5","11"
"37","50","false","7","18"
"40","50","false","1","2"
"36","50","false","9","24"
"38","50","false","7","18"
"39","50","false","6","15"
"40","50","false","2","4"
"37","50","false","8","21"
"36","50","false","10","25"
"38","50","false","8","20"
"40","50","false","3","6"
"39","50","false","7","16"
"37","50","false","9","22"
"38","50","false","9","23"
"40","50","false","4","9"
"37","50","false","10","25"
"38","50","false","10","25"
"41","50","false","0","0"
