"BehaviorSpace results (NetLogo 5.1.0)"
"Simulator.nlogo"
"Noon-Network-2"
"05/22/2015 12:19:34:884 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","the-random-seed","random-seed?","[step]","sum [score] of profiles3"
"1","50","false","0","0"
"1","50","false","1","0"
"1","50","false","2","0"
"1","50","false","3","0"
"1","50","false","4","0"
"1","50","false","5","3"
"1","50","false","6","8"
"1","50","false","7","13"
"1","50","false","8","18"
"1","50","false","9","21"
"1","50","false","10","25"
"2","50","false","0","0"
"2","50","false","1","0"
"2","50","false","2","0"
"2","50","false","3","1"
"2","50","false","4","6"
"2","50","false","5","11"
"2","50","false","6","16"
"2","50","false","7","20"
"2","50","false","8","22"
"2","50","false","9","24"
"2","50","false","10","25"
"3","50","false","0","0"
"3","50","false","1","5"
"3","50","false","2","10"
"3","50","false","3","13"
"3","50","false","4","15"
"3","50","false","5","20"
"3","50","false","6","22"
"3","50","false","7","23"
"3","50","false","8","23"
"3","50","false","9","24"
"3","50","false","10","25"
"4","50","false","0","0"
"4","50","false","1","3"
"4","50","false","2","6"
"4","50","false","3","9"
"4","50","false","4","10"
"4","50","false","5","15"
"4","50","false","6","19"
"4","50","false","7","19"
"4","50","false","8","19"
"4","50","false","9","21"
"4","50","false","10","25"
"5","50","false","0","0"
"5","50","false","1","4"
"5","50","false","2","9"
"5","50","false","3","14"
"5","50","false","4","18"
"5","50","false","5","18"
"5","50","false","6","19"
"5","50","false","7","21"
"5","50","false","8","25"
"5","50","false","9","25"
"5","50","false","10","25"
"6","50","false","0","0"
"6","50","false","1","2"
"6","50","false","2","7"
"6","50","false","3","8"
"6","50","false","4","9"
"6","50","false","5","12"
"6","50","false","6","14"
"6","50","false","7","18"
"6","50","false","8","20"
"6","50","false","9","22"
"6","50","false","10","25"
"7","50","false","0","0"
"7","50","false","1","0"
"7","50","false","2","0"
"7","50","false","3","0"
"7","50","false","4","0"
"7","50","false","5","3"
"7","50","false","6","7"
"7","50","false","7","11"
"7","50","false","8","16"
"7","50","false","9","21"
"7","50","false","10","25"
"8","50","false","0","0"
"8","50","false","1","0"
"8","50","false","2","0"
"8","50","false","3","0"
"8","50","false","4","0"
"8","50","false","5","3"
"8","50","false","6","7"
"8","50","false","7","11"
"8","50","false","8","16"
"8","50","false","9","20"
"8","50","false","10","25"
"9","50","false","0","0"
"9","50","false","1","0"
"9","50","false","2","5"
"9","50","false","3","10"
"9","50","false","4","15"
"9","50","false","5","20"
"9","50","false","6","24"
"9","50","false","7","24"
"9","50","false","8","25"
"9","50","false","9","25"
"9","50","false","10","25"
"10","50","false","0","0"
"10","50","false","1","0"
"10","50","false","2","0"
"10","50","false","3","0"
"10","50","false","4","0"
"10","50","false","5","0"
"10","50","false","6","5"
"10","50","false","7","10"
"10","50","false","8","15"
"10","50","false","9","20"
"10","50","false","10","25"
"11","50","false","0","0"
"11","50","false","1","5"
"11","50","false","2","10"
"11","50","false","3","15"
"11","50","false","4","16"
"11","50","false","5","18"
"11","50","false","6","23"
"11","50","false","7","24"
"11","50","false","8","24"
"11","50","false","9","24"
"11","50","false","10","25"
"12","50","false","0","0"
"12","50","false","1","0"
"12","50","false","2","1"
"12","50","false","3","6"
"12","50","false","4","11"
"12","50","false","5","12"
"12","50","false","6","13"
"12","50","false","7","14"
"12","50","false","8","17"
"12","50","false","9","22"
"12","50","false","10","25"
"13","50","false","0","0"
"13","50","false","1","3"
"13","50","false","2","6"
"13","50","false","3","8"
"13","50","false","4","11"
"13","50","false","5","14"
"13","50","false","6","15"
"13","50","false","7","15"
"13","50","false","8","17"
"13","50","false","9","21"
"13","50","false","10","25"
"14","50","false","0","0"
"14","50","false","1","0"
"14","50","false","2","0"
"14","50","false","3","0"
"14","50","false","4","4"
"14","50","false","5","7"
"14","50","false","6","12"
"14","50","false","7","16"
"14","50","false","8","18"
"14","50","false","9","22"
"14","50","false","10","25"
"15","50","false","0","0"
"15","50","false","1","3"
"15","50","false","2","8"
"15","50","false","3","13"
"15","50","false","4","16"
"15","50","false","5","17"
"15","50","false","6","18"
"15","50","false","7","20"
"15","50","false","8","22"
"15","50","false","9","24"
"15","50","false","10","25"
"16","50","false","0","0"
"16","50","false","1","5"
"16","50","false","2","6"
"16","50","false","3","8"
"16","50","false","4","12"
"16","50","false","5","16"
"16","50","false","6","21"
"16","50","false","7","21"
"16","50","false","8","21"
"16","50","false","9","22"
"16","50","false","10","25"
"17","50","false","0","0"
"17","50","false","1","0"
"17","50","false","2","0"
"17","50","false","3","3"
"17","50","false","4","8"
"17","50","false","5","13"
"17","50","false","6","18"
"17","50","false","7","20"
"17","50","false","8","21"
"17","50","false","9","22"
"17","50","false","10","25"
"18","50","false","0","0"
"18","50","false","1","0"
"18","50","false","2","0"
"18","50","false","3","0"
"18","50","false","4","0"
"18","50","false","5","0"
"18","50","false","6","5"
"18","50","false","7","10"
"18","50","false","8","15"
"18","50","false","9","20"
"18","50","false","10","25"
"19","50","false","0","0"
"19","50","false","1","1"
"19","50","false","2","3"
"19","50","false","3","8"
"19","50","false","4","12"
"19","50","false","5","15"
"19","50","false","6","16"
"19","50","false","7","20"
"19","50","false","8","23"
"19","50","false","9","25"
"19","50","false","10","25"
"20","50","false","0","0"
"20","50","false","1","1"
"20","50","false","2","6"
"20","50","false","3","11"
"20","50","false","4","16"
"20","50","false","5","16"
"20","50","false","6","16"
"20","50","false","7","17"
"20","50","false","8","18"
"20","50","false","9","21"
"20","50","false","10","25"
"21","50","false","0","0"
"21","50","false","1","5"
"21","50","false","2","9"
"21","50","false","3","9"
"21","50","false","4","9"
"21","50","false","5","9"
"21","50","false","6","10"
"21","50","false","7","12"
"21","50","false","8","16"
"21","50","false","9","20"
"21","50","false","10","25"
"22","50","false","0","0"
"22","50","false","1","3"
"22","50","false","2","8"
"22","50","false","3","10"
"22","50","false","4","10"
"22","50","false","5","14"
"22","50","false","6","17"
"22","50","false","7","18"
"22","50","false","8","20"
"22","50","false","9","22"
"22","50","false","10","25"
"23","50","false","0","0"
"23","50","false","1","0"
"23","50","false","2","0"
"23","50","false","3","0"
"23","50","false","4","0"
"23","50","false","5","2"
"23","50","false","6","7"
"23","50","false","7","12"
"23","50","false","8","17"
"23","50","false","9","22"
"23","50","false","10","25"
"24","50","false","0","0"
"24","50","false","1","5"
"24","50","false","2","10"
"24","50","false","3","15"
"24","50","false","4","20"
"24","50","false","5","23"
"24","50","false","6","23"
"24","50","false","7","24"
"24","50","false","8","24"
"24","50","false","9","24"
"24","50","false","10","25"
"25","50","false","0","0"
"25","50","false","1","5"
"25","50","false","2","10"
"25","50","false","3","15"
"25","50","false","4","20"
"25","50","false","5","24"
"25","50","false","6","24"
"25","50","false","7","24"
"25","50","false","8","24"
"25","50","false","9","25"
"25","50","false","10","25"
"26","50","false","0","0"
"26","50","false","1","0"
"26","50","false","2","0"
"26","50","false","3","2"
"26","50","false","4","7"
"26","50","false","5","12"
"26","50","false","6","13"
"26","50","false","7","16"
"26","50","false","8","17"
"26","50","false","9","22"
"26","50","false","10","25"
"27","50","false","0","0"
"27","50","false","1","5"
"27","50","false","2","10"
"27","50","false","3","15"
"27","50","false","4","20"
"27","50","false","5","21"
"27","50","false","6","22"
"27","50","false","7","23"
"27","50","false","8","24"
"27","50","false","9","24"
"27","50","false","10","25"
"28","50","false","0","0"
"28","50","false","1","5"
"28","50","false","2","10"
"28","50","false","3","15"
"28","50","false","4","20"
"28","50","false","5","24"
"28","50","false","6","24"
"28","50","false","7","24"
"28","50","false","8","24"
"28","50","false","9","25"
"28","50","false","10","25"
"29","50","false","0","0"
"29","50","false","1","0"
"29","50","false","2","0"
"29","50","false","3","0"
"29","50","false","4","0"
"29","50","false","5","1"
"29","50","false","6","6"
"29","50","false","7","11"
"29","50","false","8","16"
"29","50","false","9","21"
"29","50","false","10","25"
"30","50","false","0","0"
"30","50","false","1","5"
"30","50","false","2","10"
"30","50","false","3","15"
"30","50","false","4","20"
"30","50","false","5","23"
"30","50","false","6","23"
"30","50","false","7","23"
"30","50","false","8","23"
"30","50","false","9","23"
"30","50","false","10","25"
"31","50","false","0","0"
"31","50","false","1","0"
"31","50","false","2","0"
"31","50","false","3","0"
"31","50","false","4","5"
"31","50","false","5","10"
"31","50","false","6","15"
