"BehaviorSpace results (NetLogo 5.1.0)"
"Simulator.nlogo"
"smaller-netowork-1"
"06/10/2015 14:37:12:274 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","the-random-seed","random-seed?","[step]","[breed] of user","[turns] of user","[turn-payoff] of user","[score] of user"
"1","50","false","0","{breed attack-profiles}","1","0","0"
"1","50","false","1","{breed attack-profiles}","2","0","0"
"1","50","false","2","{breed random-profiles}","1","-1","-1"
"1","50","false","3","{breed attack-profiles}","1","1.5","1.5"
"1","50","false","4","{breed attack-profiles}","2","0","1.5"
"1","50","false","5","{breed attack-profiles}","3","1.5","1.5"
"1","50","false","6","{breed random-profiles}","1","-1","-1"
"1","50","false","7","{breed attack-profiles}","3","1.5","3"
"1","50","false","8","{breed random-profiles}","2","-1","-2"
"1","50","false","9","{breed attack-profiles}","4","3","4.5"
"1","50","false","10","{breed random-profiles}","3","3","1"
"1","50","false","11","{breed random-profiles}","4","3","4"
"1","50","false","12","{breed attack-profiles}","5","0.5","5"
"1","50","false","13","{breed random-profiles}","2","3","2"
"1","50","false","14","{breed random-profiles}","5","-5","-1"
"1","50","false","15","{breed attack-profiles}","6","3","8"
"1","50","false","16","{breed attack-profiles}","4","3","6"
"1","50","false","17","{breed attack-profiles}","7","0","8"
"1","50","false","18","{breed random-profiles}","6","3","2"
"1","50","false","19","{breed random-profiles}","3","1","3"
"1","50","false","20","{breed attack-profiles}","8","1.5","9.5"
"1","50","false","21","{breed attack-profiles}","9","0","9.5"
"1","50","false","22","{breed random-profiles}","4","-1","2"
"1","50","false","23","{breed attack-profiles}","10","1.5","11"
"1","50","false","24","{breed random-profiles}","7","-3","-1"
"1","50","false","25","{breed random-profiles}","8","-1","-2"
"1","50","false","26","{breed attack-profiles}","11","1.5","12.5"
"1","50","false","27","{breed random-profiles}","5","-1","1"
"1","50","false","28","{breed attack-profiles}","5","6","12"
"1","50","false","29","{breed random-profiles}","6","-3","-2"
"1","50","false","30","{breed random-profiles}","7","-3","-5"
"1","50","false","31","{breed attack-profiles}","12","3.5","16"
"1","50","false","32","{breed random-profiles}","8","-1","-6"
"1","50","false","33","{breed random-profiles}","9","-1","-7"
"1","50","false","34","{breed random-profiles}","9","-3","-5"
"1","50","false","35","{breed random-profiles}","10","3","-4"
"1","50","false","36","{breed attack-profiles}","13","3.5","19.5"
"1","50","false","37","{breed attack-profiles}","6","7.5","19.5"
"1","50","false","38","{breed random-profiles}","10","-5","-10"
"1","50","false","39","{breed attack-profiles}","7","2.5","22"
"1","50","false","40","{breed random-profiles}","11","3","-7"
"1","50","false","41","{breed random-profiles}","11","-3","-7"
"1","50","false","42","{breed attack-profiles}","14","3","22.5"
"1","50","false","43","{breed random-profiles}","12","1","-6"
"1","50","false","44","{breed attack-profiles}","15","0.5","23"
"1","50","false","45","{breed attack-profiles}","16","0","23"
"1","50","false","46","{breed random-profiles}","12","-1","-8"
"1","50","false","47","{breed attack-profiles}","17","1","24"
"1","50","false","48","{breed random-profiles}","13","0","-6"
"1","50","false","49","{breed attack-profiles}","18","0","24"
"1","50","false","50","{breed random-profiles}","13","0","-8"
"2","50","false","0","{breed random-profiles}","1","1","1"
"2","50","false","1","{breed attack-profiles}","1","0","0"
"2","50","false","2","{breed attack-profiles}","1","0","0"
"2","50","false","3","{breed attack-profiles}","2","0","0"
"2","50","false","4","{breed attack-profiles}","3","0","0"
"2","50","false","5","{breed attack-profiles}","2","0","0"
"2","50","false","6","{breed random-profiles}","1","-1","-1"
"2","50","false","7","{breed random-profiles}","2","1","0"
"2","50","false","8","{breed random-profiles}","2","1","2"
"2","50","false","9","{breed attack-profiles}","4","1.5","1.5"
"2","50","false","10","{breed attack-profiles}","3","1.5","1.5"
"2","50","false","11","{breed random-profiles}","3","1","1"
"2","50","false","12","{breed attack-profiles}","5","1","2.5"
"2","50","false","13","{breed random-profiles}","4","1","2"
"2","50","false","14","{breed attack-profiles}","4","2","3.5"
"2","50","false","15","{breed random-profiles}","3","1","3"
"2","50","false","16","{breed random-profiles}","4","-5","-2"
"2","50","false","17","{breed random-profiles}","5","-3","-1"
"2","50","false","18","{breed attack-profiles}","6","4.5","7"
"2","50","false","19","{breed random-profiles}","6","-1","-2"
"2","50","false","20","{breed attack-profiles}","7","1.5","8.5"
"2","50","false","21","{breed attack-profiles}","5","5","8.5"
"2","50","false","22","{breed random-profiles}","7","-1","-3"
"2","50","false","23","{breed random-profiles}","8","-3","-6"
"2","50","false","24","{breed attack-profiles}","8","1.5","10"
"2","50","false","25","{breed random-profiles}","9","3","-3"
"2","50","false","26","{breed attack-profiles}","6","2","10.5"
"2","50","false","27","{breed attack-profiles}","9","0.5","10.5"
"2","50","false","28","{breed random-profiles}","10","-1","-4"
"2","50","false","29","{breed random-profiles}","5","-1","-3"
"2","50","false","30","{breed attack-profiles}","10","3","13.5"
"2","50","false","31","{breed attack-profiles}","7","3","13.5"
"2","50","false","32","{breed random-profiles}","6","1","-2"
"2","50","false","33","{breed random-profiles}","7","1","-1"
"2","50","false","34","{breed attack-profiles}","11","2","15.5"
"2","50","false","35","{breed random-profiles}","8","-3","-4"
"2","50","false","36","{breed random-profiles}","9","1","-3"
"2","50","false","37","{breed random-profiles}","10","-1","-4"
"2","50","false","38","{breed random-profiles}","11","-1","-5"
"2","50","false","39","{breed random-profiles}","12","-1","-6"
"2","50","false","40","{breed random-profiles}","11","-3","-7"
"2","50","false","41","{breed attack-profiles}","12","6.5","22"
"2","50","false","42","{breed random-profiles}","13","-1","-7"
"2","50","false","43","{breed random-profiles}","12","0","-7"
"2","50","false","44","{breed random-profiles}","13","0","-7"
"2","50","false","45","{breed attack-profiles}","13","1","23"
"2","50","false","46","{breed random-profiles}","14","0","-7"
"2","50","false","47","{breed attack-profiles}","14","0","23"
"2","50","false","48","{breed attack-profiles}","15","0","23"
"2","50","false","49","{breed attack-profiles}","16","0","23"
"2","50","false","50","{breed attack-profiles}","17","0","23"
"3","50","false","0","{breed random-profiles}","1","-5","-5"
"3","50","false","1","{breed attack-profiles}","1","0","0"
"3","50","false","2","{breed random-profiles}","1","1","1"
"3","50","false","3","{breed random-profiles}","2","1","-4"
"3","50","false","4","{breed random-profiles}","2","-1","0"
"3","50","false","5","{breed random-profiles}","3","-1","-1"
"3","50","false","6","{breed attack-profiles}","1","3","3"
"3","50","false","7","{breed random-profiles}","4","-3","-4"
"3","50","false","8","{breed attack-profiles}","2","5","5"
"3","50","false","9","{breed random-profiles}","5","-5","-9"
"3","50","false","10","{breed attack-profiles}","3","2.5","7.5"
"3","50","false","11","{breed random-profiles}","3","-1","-5"
"3","50","false","12","{breed attack-profiles}","2","4","7"
"3","50","false","13","{breed random-profiles}","4","-1","-6"
"3","50","false","14","{breed attack-profiles}","4","3","10.5"
"3","50","false","15","{breed attack-profiles}","5","0","10.5"
"3","50","false","16","{breed attack-profiles}","3","1.5","8.5"
"3","50","false","17","{breed random-profiles}","5","3","-3"
"3","50","false","18","{breed random-profiles}","6","1","-8"
"3","50","false","19","{breed attack-profiles}","6","1","11.5"
"3","50","false","20","{breed random-profiles}","7","1","-7"
"3","50","false","21","{breed attack-profiles}","4","2","10.5"
"3","50","false","22","{breed attack-profiles}","7","1","12.5"
"3","50","false","23","{breed random-profiles}","6","1","-2"
"3","50","false","24","{breed random-profiles}","8","1","-6"
"3","50","false","25","{breed attack-profiles}","5","2","12.5"
"3","50","false","26","{breed random-profiles}","9","-1","-7"
"3","50","false","27","{breed attack-profiles}","8","1.5","14"
"3","50","false","28","{breed random-profiles}","7","1","-1"
"3","50","false","29","{breed attack-profiles}","9","1","15"
"3","50","false","30","{breed random-profiles}","10","3","-4"
"3","50","false","31","{breed attack-profiles}","10","0.5","15.5"
"3","50","false","32","{breed random-profiles}","8","-3","-4"
"3","50","false","33","{breed attack-profiles}","11","2","17.5"
"3","50","false","34","{breed attack-profiles}","12","0","17.5"
"3","50","false","35","{breed attack-profiles}","13","0","17.5"
"3","50","false","36","{breed attack-profiles}","14","0","17.5"
"3","50","false","37","{breed attack-profiles}","15","0","17.5"
"3","50","false","38","{breed attack-profiles}","6","3","15.5"
"3","50","false","39","{breed random-profiles}","11","1","-3"
"3","50","false","40","{breed attack-profiles}","7","1","16.5"
"3","50","false","41","{breed random-profiles}","12","-1","-4"
"3","50","false","42","{breed attack-profiles}","8","0.5","17"
"3","50","false","43","{breed attack-profiles}","9","0","17"
"3","50","false","44","{breed attack-profiles}","10","0","17"
"3","50","false","45","{breed attack-profiles}","11","0","17"
"3","50","false","46","{breed attack-profiles}","12","0","17"
"3","50","false","47","{breed random-profiles}","9","-3","-7"
"3","50","false","48","{breed attack-profiles}","13","2","19"
"3","50","false","49","{breed random-profiles}","10","-1","-8"
"3","50","false","50","{breed random-profiles}","11","1","-7"
"4","50","false","0","{breed attack-profiles}","1","0","0"
"4","50","false","1","{breed attack-profiles}","2","0","0"
"4","50","false","2","{breed attack-profiles}","1","0","0"
"4","50","false","3","{breed random-profiles}","1","3","3"
"4","50","false","4","{breed attack-profiles}","2","0.5","0.5"
"4","50","false","5","{breed random-profiles}","2","-3","0"
"4","50","false","6","{breed attack-profiles}","3","2.5","2.5"
"4","50","false","7","{breed random-profiles}","1","1","1"
"4","50","false","8","{breed random-profiles}","3","1","1"
"4","50","false","9","{breed random-profiles}","2","-1","0"
"4","50","false","10","{breed attack-profiles}","4","1.5","4"
"4","50","false","11","{breed random-profiles}","3","1","1"
"4","50","false","12","{breed attack-profiles}","3","4.5","5"
"4","50","false","13","{breed random-profiles}","4","-3","-2"
"4","50","false","14","{breed random-profiles}","4","3","4"
"4","50","false","15","{breed random-profiles}","5","1","-1"
"4","50","false","16","{breed attack-profiles}","5","2.5","6.5"
"4","50","false","17","{breed random-profiles}","6","-1","-2"
"4","50","false","18","{breed random-profiles}","5","1","5"
"4","50","false","19","{breed random-profiles}","6","3","8"
"4","50","false","20","{breed random-profiles}","7","-3","-5"
"4","50","false","21","{breed random-profiles}","7","-3","5"
"4","50","false","22","{breed random-profiles}","8","3","-2"
"4","50","false","23","{breed attack-profiles}","4","8","13"
"4","50","false","24","{breed attack-profiles}","6","4.5","11"
"4","50","false","25","{breed random-profiles}","9","-1","-3"
"4","50","false","26","{breed random-profiles}","10","-3","-6"
"4","50","false","27","{breed random-profiles}","11","1","-5"
"4","50","false","28","{breed random-profiles}","8","-3","2"
"4","50","false","29","{breed random-profiles}","9","-1","1"
"4","50","false","30","{breed random-profiles}","10","-1","0"
"4","50","false","31","{breed random-profiles}","11","-5","-5"
"4","50","false","32","{breed attack-profiles}","5","10","23"
"4","50","false","33","{breed random-profiles}","12","-1","-6"
"4","50","false","34","{breed attack-profiles}","7","11","22"
"4","50","false","35","{breed random-profiles}","13","-1","-7"
"4","50","false","36","{breed random-profiles}","14","0","-7"
"4","50","false","37","{breed attack-profiles}","6","1.5","24.5"
"4","50","false","38","{breed random-profiles}","15","0","-7"
"4","50","false","39","{breed attack-profiles}","8","0.5","22.5"
"4","50","false","40","{breed random-profiles}","16","0","-7"
"4","50","false","41","{breed random-profiles}","12","-2","-7"
"4","50","false","42","{breed attack-profiles}","7","1.5","26"
"4","50","false","43","{breed random-profiles}","13","0","-7"
"4","50","false","44","{breed attack-profiles}","9","1.5","24"
"4","50","false","45","{breed attack-profiles}","10","0","24"
"4","50","false","46","{breed random-profiles}","17","0","-7"
"4","50","false","47","{breed attack-profiles}","11","0","24"
"4","50","false","48","{breed random-profiles}","14","0","-7"
"4","50","false","49","{breed random-profiles}","18","0","-7"
"4","50","false","50","{breed random-profiles}","15","0","-7"
"5","50","false","0","{breed random-profiles}","1","-1","-1"
"5","50","false","1","{breed random-profiles}","2","1","0"
"5","50","false","2","{breed random-profiles}","3","-1","-1"
"5","50","false","3","{breed attack-profiles}","1","2.5","2.5"
"5","50","false","4","{breed random-profiles}","1","1","1"
"5","50","false","5","{breed attack-profiles}","1","1.5","1.5"
"5","50","false","6","{breed random-profiles}","4","1","0"
"5","50","false","7","{breed attack-profiles}","2","2","4.5"
"5","50","false","8","{breed attack-profiles}","3","0","4.5"
"5","50","false","9","{breed random-profiles}","2","3","4"
"5","50","false","10","{breed random-profiles}","5","-1","-1"
"5","50","false","11","{breed attack-profiles}","4","1.5","6"
"5","50","false","12","{breed random-profiles}","6","1","0"
"5","50","false","13","{breed attack-profiles}","5","1","7"
"5","50","false","14","{breed attack-profiles}","6","0","7"
"5","50","false","15","{breed random-profiles}","3","1","5"
"5","50","false","16","{breed attack-profiles}","2","2.5","4"
"5","50","false","17","{breed random-profiles}","4","-1","4"
"5","50","false","18","{breed random-profiles}","5","1","5"
"5","50","false","19","{breed attack-profiles}","3","2.5","6.5"
"5","50","false","20","{breed attack-profiles}","7","1.5","8.5"
"5","50","false","21","{breed random-profiles}","6","-3","2"
"5","50","false","22","{breed random-profiles}","7","1","3"
"5","50","false","23","{breed random-profiles}","7","-1","-1"
"5","50","false","24","{breed random-profiles}","8","-5","-2"
"5","50","false","25","{breed attack-profiles}","4","5","11.5"
"5","50","false","26","{breed random-profiles}","8","-1","-2"
"5","50","false","27","{breed random-profiles}","9","-1","-3"
"5","50","false","28","{breed random-profiles}","9","1","-1"
"5","50","false","29","{breed random-profiles}","10","-3","-6"
"5","50","false","30","{breed attack-profiles}","8","11","19.5"
"5","50","false","31","{breed attack-profiles}","9","0","19.5"
"5","50","false","32","{breed attack-profiles}","5","4","15.5"
"5","50","false","33","{breed attack-profiles}","6","0","15.5"
"5","50","false","34","{breed attack-profiles}","7","0","15.5"
"5","50","false","35","{breed random-profiles}","11","-1","-7"
"5","50","false","36","{breed random-profiles}","12","0","-7"
"5","50","false","37","{breed random-profiles}","10","-3","-4"
"5","50","false","38","{breed random-profiles}","11","1","-3"
"5","50","false","39","{breed attack-profiles}","8","3","18.5"
"5","50","false","40","{breed attack-profiles}","9","0","18.5"
"5","50","false","41","{breed random-profiles}","12","-3","-6"
"5","50","false","42","{breed random-profiles}","13","-1","-8"
"5","50","false","43","{breed random-profiles}","14","0","-8"
"5","50","false","44","{breed attack-profiles}","10","2","20.5"
"5","50","false","45","{breed attack-profiles}","10","5","24.5"
"5","50","false","46","{breed attack-profiles}","11","0","24.5"
"5","50","false","47","{breed attack-profiles}","11","0","20.5"
"5","50","false","48","{breed random-profiles}","15","-1","-9"
"5","50","false","49","{breed attack-profiles}","12","0.5","21"
"5","50","false","50","{breed random-profiles}","13","-1","-7"
"6","50","false","0","{breed attack-profiles}","1","0","0"
"6","50","false","1","{breed attack-profiles}","2","0","0"
"6","50","false","2","{breed attack-profiles}","1","0","0"
"6","50","false","3","{breed attack-profiles}","3","0","0"
"6","50","false","4","{breed attack-profiles}","4","0","0"
"6","50","false","5","{breed attack-profiles}","2","0","0"
"6","50","false","6","{breed random-profiles}","1","-3","-3"
"6","50","false","7","{breed random-profiles}","1","-3","-3"
"6","50","false","8","{breed attack-profiles}","5","2","2"
"6","50","false","9","{breed random-profiles}","2","3","0"
"6","50","false","10","{breed random-profiles}","3","-3","-3"
"6","50","false","11","{breed random-profiles}","2","1","-2"
"6","50","false","12","{breed random-profiles}","3","-1","-3"
"6","50","false","13","{breed attack-profiles}","6","3","5"
"6","50","false","14","{breed random-profiles}","4","-3","-6"
"6","50","false","15","{breed attack-profiles}","3","9","9"
"6","50","false","16","{breed attack-profiles}","7","2","7"
"6","50","false","17","{breed random-profiles}","4","-1","-4"
"6","50","false","18","{breed random-profiles}","5","-3","-7"
"6","50","false","19","{breed attack-profiles}","4","1.5","10.5"
"6","50","false","20","{breed random-profiles}","5","3","-3"
"6","50","false","21","{breed attack-profiles}","5","0.5","11"
"6","50","false","22","{breed attack-profiles}","6","0","11"
"6","50","false","23","{breed random-profiles}","6","1","-2"
"6","50","false","24","{breed random-profiles}","7","1","-1"
