"BehaviorSpace results (NetLogo 5.1.0)"
"Simulator.nlogo"
"smaller-netowork-1"
"06/10/2015 15:15:18:527 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","the-random-seed","random-seed?","[step]","[breed] of user","[turns] of user","[turn-payoff] of user","[score] of user","length [children] of user"
"3","50","false","1","{breed random-profiles}","1","3","3","1"
"3","50","false","2","{breed attack-profiles}","2","1","1","1"
"3","50","false","3","{breed random-profiles}","1","-1","-1","1"
"3","50","false","4","{breed random-profiles}","2","3","2","1"
"3","50","false","5","{breed attack-profiles}","3","2","3","2"
"3","50","false","6","{breed attack-profiles}","1","3","3","2"
"3","50","false","7","{breed attack-profiles}","2","0","3","2"
"3","50","false","8","{breed attack-profiles}","3","0","3","2"
"3","50","false","9","{breed random-profiles}","3","1","3","1"
"3","50","false","10","{breed random-profiles}","4","1","4","1"
"3","50","false","11","{breed random-profiles}","5","-1","3","1"
"3","50","false","12","{breed attack-profiles}","4","5","8","3"
"3","50","false","13","{breed attack-profiles}","5","0","8","3"
"3","50","false","14","{breed attack-profiles}","4","5","8","3"
"3","50","false","15","{breed attack-profiles}","5","0","8","3"
"3","50","false","16","{breed random-profiles}","2","-3","0","1"
"3","50","false","17","{breed random-profiles}","6","-3","0","1"
"3","50","false","18","{breed random-profiles}","7","1","1","1"
"3","50","false","19","{breed attack-profiles}","6","8","16","4"
"3","50","false","20","{breed attack-profiles}","7","0","16","4"
"3","50","false","21","{breed random-profiles}","3","1","1","1"
"3","50","false","22","{breed attack-profiles}","6","10","18","4"
"3","50","false","23","{breed random-profiles}","8","-3","-2","1"
"3","50","false","24","{breed random-profiles}","9","-3","-5","1"
"3","50","false","25","{breed attack-profiles}","8","8","24","5"
"3","50","false","26","{breed attack-profiles}","7","6","24","5"
"3","50","false","27","{breed random-profiles}","4","-3","-2","1"
"3","50","false","28","{breed attack-profiles}","8","2","26","6"
"3","50","false","29","{breed attack-profiles}","9","0","26","6"
"3","50","false","30","{breed random-profiles}","10","1","-4","1"
"3","50","false","31","{breed random-profiles}","5","-1","-3","1"
"3","50","false","32","{breed attack-profiles}","9","7","31","6"
"3","50","false","33","{breed attack-profiles}","10","0","31","6"
"3","50","false","34","{breed random-profiles}","6","1","-2","1"
"3","50","false","35","{breed random-profiles}","7","-3","-5","1"
"3","50","false","36","{breed attack-profiles}","11","4","35","7"
"3","50","false","37","{breed random-profiles}","8","-3","-8","1"
"3","50","false","38","{breed random-profiles}","11","-5","-9","1"
"3","50","false","39","{breed random-profiles}","12","-1","-10","1"
"3","50","false","40","{breed attack-profiles}","10","21","47","7"
"3","50","false","41","{breed random-profiles}","9","-1","-9","1"
"3","50","false","42","{breed random-profiles}","13","-2","-12","1"
"3","50","false","43","{breed attack-profiles}","12","15","50","8"
"3","50","false","44","{breed random-profiles}","14","-1","-13","1"
"3","50","false","45","{breed random-profiles}","15","0","-13","1"
"3","50","false","46","{breed random-profiles}","10","-1","-10","1"
"3","50","false","47","{breed attack-profiles}","13","2","52","9"
"3","50","false","48","{breed attack-profiles}","11","7","54","8"
"3","50","false","49","{breed random-profiles}","16","-2","-15","1"
"3","50","false","50","{breed random-profiles}","17","0","-15","1"
"4","50","false","0","{breed attack-profiles}","1","0","0","1"
"4","50","false","1","{breed random-profiles}","1","-1","-1","1"
"4","50","false","2","{breed attack-profiles}","2","3","3","1"
"4","50","false","3","{breed attack-profiles}","3","0","3","1"
"4","50","false","4","{breed random-profiles}","2","-1","-2","1"
"4","50","false","5","{breed random-profiles}","3","1","-1","1"
"4","50","false","6","{breed attack-profiles}","4","3","6","2"
"4","50","false","7","{breed attack-profiles}","1","6","6","2"
"4","50","false","8","{breed random-profiles}","4","1","0","1"
"4","50","false","9","{breed random-profiles}","5","3","3","1"
"4","50","false","10","{breed random-profiles}","6","1","4","1"
"4","50","false","11","{breed random-profiles}","1","-1","-1","1"
"4","50","false","12","{breed attack-profiles}","5","6","12","3"
"4","50","false","13","{breed attack-profiles}","2","6","12","3"
"4","50","false","14","{breed random-profiles}","7","-3","1","1"
"4","50","false","15","{breed random-profiles}","8","-3","-2","1"
"4","50","false","16","{breed attack-profiles}","6","6","18","4"
"4","50","false","17","{breed attack-profiles}","3","6","18","4"
"4","50","false","18","{breed random-profiles}","9","-1","-3","1"
"4","50","false","19","{breed random-profiles}","2","-3","-4","1"
"4","50","false","20","{breed random-profiles}","3","-3","-7","1"
"4","50","false","21","{breed random-profiles}","4","-1","-8","1"
"4","50","false","22","{breed attack-profiles}","4","12","30","5"
"4","50","false","23","{breed random-profiles}","5","1","-7","1"
"4","50","false","24","{breed random-profiles}","6","1","-6","1"
"4","50","false","25","{breed attack-profiles}","5","2","32","6"
"4","50","false","26","{breed random-profiles}","7","-3","-9","1"
"4","50","false","27","{breed attack-profiles}","7","20","38","5"
"4","50","false","28","{breed random-profiles}","8","-3","-12","1"
"4","50","false","29","{breed random-profiles}","9","-1","-13","1"
"4","50","false","30","{breed attack-profiles}","8","5","43","6"
"4","50","false","31","{breed attack-profiles}","9","0","43","6"
"4","50","false","32","{breed attack-profiles}","6","9","41","7"
"4","50","false","33","{breed attack-profiles}","10","0","43","6"
"4","50","false","34","{breed attack-profiles}","11","0","43","6"
"4","50","false","35","{breed random-profiles}","10","-1","-14","1"
"4","50","false","36","{breed random-profiles}","10","-3","-6","1"
"4","50","false","37","{breed attack-profiles}","12","5","48","7"
"4","50","false","38","{breed random-profiles}","11","-3","-9","1"
"4","50","false","39","{breed attack-profiles}","13","2","50","8"
"4","50","false","40","{breed random-profiles}","11","1","-13","1"
"4","50","false","41","{breed random-profiles}","12","-1","-10","1"
"4","50","false","42","{breed random-profiles}","12","-1","-14","1"
"4","50","false","43","{breed random-profiles}","13","1","-13","1"
"4","50","false","44","{breed attack-profiles}","7","18","59","8"
"4","50","false","45","{breed attack-profiles}","14","7","57","9"
"4","50","false","46","{breed random-profiles}","14","-2","-15","1"
"4","50","false","47","{breed attack-profiles}","8","2","61","8"
"4","50","false","48","{breed attack-profiles}","9","0","61","8"
"4","50","false","49","{breed random-profiles}","13","-5","-15","1"
"4","50","false","50","{breed attack-profiles}","15","5","62","10"
"5","50","false","0","{breed attack-profiles}","1","0","0","1"
"5","50","false","1","{breed random-profiles}","1","-3","-3","1"
"5","50","false","2","{breed attack-profiles}","2","2","2","2"
"5","50","false","3","{breed random-profiles}","2","1","-2","1"
"5","50","false","4","{breed random-profiles}","1","1","1","1"
"5","50","false","5","{breed random-profiles}","2","-1","0","1"
"5","50","false","6","{breed attack-profiles}","1","9","9","2"
"5","50","false","7","{breed random-profiles}","3","3","3","1"
"5","50","false","8","{breed random-profiles}","4","-3","0","1"
"5","50","false","9","{breed random-profiles}","3","-5","-7","1"
"5","50","false","10","{breed attack-profiles}","3","15","17","3"
"5","50","false","11","{breed attack-profiles}","4","0","17","3"
"5","50","false","12","{breed attack-profiles}","5","0","17","3"
"5","50","false","13","{breed attack-profiles}","6","0","17","3"
"5","50","false","14","{breed random-profiles}","5","-1","-1","1"
